"adContent","ad_content_id"
"{KeyWord:Google Brand Items}",1
"{KeyWord:Google Branded Apparel}",2
"{KeyWord:Google Branded Gear}",3
"{KeyWord:Google Branded Kit}",4
"{KeyWord:Google Branded Outerwear}",5
"{KeyWord:Google Drinkware}",6
"{KeyWord:Google Men's T-Shirts}",7
"{KeyWord:Google Merchandise}",8
"{KeyWord:Looking for Google Bags?}",9
"{KeyWord:Want Google Pet Toys?}",10
"{KeyWord:Want Google Stickers?}",11
"20% discount",12
"Ad from 11/3/16",13
"Ad from 11/7/16",14
"Ad from 12/13/16",15
"Ad from 2/17/17",16
"Display Ad created 11/17/14",17
"Display Ad created 3/11/14",18
"Display Ad created 3/11/15",19
"First Full Auto Template Test Ad",20
"free shipping",21
"Free Shipping!",22
"Full auto ad IMAGE ONLY",23
"Full auto ad NATIVE ONLY",24
"Full auto ad TEXT ONLY",25
"Full auto ad TEXT/NATIVE",26
"Full auto ad with Primary Color",27
"GA Help Center",28
"Google Merchandise",29
"Google Merchandise Collection",30
"Google Online Store",31
"Google Paraphernalia",32
"google store",33
"Google store",34
"Google Store",35
"JD_5a_v1",36
"LeEco_1a",37
"Men's-Outerwear Google Apparel",38
"Official Google Merchandise - Fast Shipping",39
"Swag w/ Google Logos",40
"Swag with Google Logos",41
"url_builder",42
"visit us again",43
"Want Google Sunglasses",44
