parsed_domain,parsed_domain_id
(not set),1
1,2
1,3
0beta,4
177,5
178,6
2,7
208,8
210-twnap,9
234,10
25,11
28,12
4-x64,13
61-savecom,14
63,15
65,16
ac,17
ad,18
adsl,19
ae,20
aero,21
af,22
ag,23
al,24
am,25
an,26
any,27
anz,28
ao,29
ar,30
arp,31
arqiva,32
as,33
as18190,34
as34268,35
asia,36
at,37
au,38
available,39
aw,40
az,41
ba,42
bb,43
bd,44
be,45
bg,46
bh,47
bi,48
bitch,49
biz,50
bm,51
bn,52
bo,53
bomp,54
br,55
bs,56
bt,57
bw,58
by,59
bz,60
ca,61
cat,62
cc,63
cd,64
center,65
ch,66
chicago,67
chinamobile,68
ci,69
ck,70
cl,71
cm,72
cn,73
cnc,74
co,75
com,76
com\032,77
company,78
configured,79
cool,80
coop,81
cr,82
cricket,83
crtnet,84
ct,85
cv,86
cw,87
cy,88
cyclons,89
cz,90
de,91
deloitte,92
digital,93
dir,94
dj,95
dk,96
dm,97
do,98
dsnet,99
dz,100
ec,101
eclair,102
edu,103
ee,104
eg,105
email,106
es,107
et,108
eu,109
farm,110
fi,111
fj,112
fo,113
fr,114
ga,115
ge,116
gg,117
gh,118
gl,119
global,120
gm,121
gn,122
gntu-1gb-sgp1-01,123
gong,124
gov,125
gr,126
gt,127
guru,128
gy,129
hk,130
hn,131
host,132
hr,133
hu,134
id,135
ie,136
il,137
im,138
in,139
in-arpa,140
info,141
int,142
invalid,143
io,144
iq,145
ir,146
is,147
it,148
je,149
jm,150
jo,151
jp,152
ke,153
kg,154
kh,155
koeln,156
kq,157
kr,158
kw,159
ky,160
kz,161
la,162
lan,163
lb,164
lcl,165
li,166
life,167
limited,168
lk,169
lnoca,170
local,171
localhost,172
location,173
london,174
ls,175
lt,176
ltd,177
lu,178
lv,179
ly,180
ma,181
mailnet,182
mc,183
md,184
me,185
mg,186
mh,187
mil,188
milleniumtelecom,189
mk,190
ml,191
mm,192
mn,193
mo,194
mobi,195
mobily,196
mp,197
mr,198
ms,199
msft,200
mt,201
mu,202
mv,203
mw,204
mx,205
my,206
mz,207
na,208
name,209
nasdaq-admin,210
nc,211
net,212
network,213
new-york,214
nf,215
ng,216
ni,217
ninja,218
nl,219
no,220
np,221
nu,222
nz,223
ohio-state,224
om,225
online,226
ooe,227
org,228
ovh,229
pa,230
pe,231
pe\032,232
pf,233
pg,234
ph,235
pk,236
pl,237
pop,238
ppp,239
pr,240
pro,241
ps,242
pt,243
pvt,244
pw,245
py,246
qa,247
re,248
review,249
ro,250
rocks,251
rs,252
ru,253
rw,254
sa,255
se,256
server,257
servicos,258
sg,259
sh,260
si,261
sk,262
sm,263
sn,264
spoofed,265
sr,266
st,267
static,268
su,269
sv,270
sx,271
systems,272
sz,273
tc,274
tech,275
tg,276
th,277
this,278
tj,279
tld,280
tn,281
to,282
top,283
tr,284
travel,285
tt,286
tv,287
tw,288
tz,289
ua,290
ug,291
uk,292
uk\032,293
univ,294
unknown,295
us,296
userbizslimit-16258,297
uy,298
uz,299
vc,300
ve,301
vg,302
vi,303
vn,304
vu,305
website,306
win,307
work,308
ws,309
xn--p1ai,310
xyz,311
ye,312
years,313
yu,314
za,315
zm,316
zw,317
